t_wall,id,putio_status,lifecycle_state,percent_done,putio_pct,local_present,local_dl,local_total
6.06,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.06,4002,DOWNLOADING,None,0.33,66,False,,
6.12,4004,ERROR,None,0,0,False,,
6.12,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.12,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.12,4002,DOWNLOADING,None,0.33,66,False,,
6.17,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.17,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.17,4002,DOWNLOADING,None,0.33,66,False,,
6.17,4004,ERROR,None,0,0,False,,
6.23,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.23,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.23,4002,DOWNLOADING,None,0.33,66,False,,
6.23,4004,ERROR,None,0,0,False,,
6.29,4002,DOWNLOADING,None,0.33,66,False,,
6.29,4004,ERROR,None,0,0,False,,
6.29,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.29,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.35,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.35,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.35,4002,DOWNLOADING,None,0.33,66,False,,
6.35,4004,ERROR,None,0,0,False,,
6.41,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.41,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.41,4002,DOWNLOADING,None,0.33,66,False,,
6.41,4004,ERROR,None,0,0,False,,
6.48,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.48,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.48,4002,DOWNLOADING,None,0.33,66,False,,
6.48,4004,ERROR,None,0,0,False,,
6.53,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.53,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.53,4002,DOWNLOADING,None,0.33,66,False,,
6.53,4004,ERROR,None,0,0,False,,
6.59,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.59,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.59,4002,DOWNLOADING,None,0.33,66,False,,
6.59,4004,ERROR,None,0,0,False,,
6.65,4002,DOWNLOADING,None,0.33,66,False,,
6.65,4004,ERROR,None,0,0,False,,
6.65,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.65,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.71,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.71,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.71,4002,DOWNLOADING,None,0.33,66,False,,
6.71,4004,ERROR,None,0,0,False,,
6.77,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.77,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.77,4002,DOWNLOADING,None,0.33,66,False,,
6.77,4004,ERROR,None,0,0,False,,
6.84,4004,ERROR,None,0,0,False,,
6.84,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.84,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.84,4002,DOWNLOADING,None,0.33,66,False,,
6.9,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.9,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.9,4002,DOWNLOADING,None,0.33,66,False,,
6.9,4004,ERROR,None,0,0,False,,
6.96,4001,COMPLETED,Processed,1,100,True,12000000,12000000
6.96,4003,COMPLETED,Processed,1,100,True,15136000,15136000
6.96,4002,DOWNLOADING,None,0.4,80,False,,
7.03,4002,DOWNLOADING,None,0.4,80,False,,
7.03,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.03,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.09,4001,COMPLETED,Processed,1,100,True,12000000,12000000
7.09,4003,COMPLETED,Processed,1,100,True,15136000,15136000
7.09,4002,DOWNLOADING,None,0.4,80,False,,
7.15,4001,COMPLETED,Processed,1,100,True,12000000,12000000
